Date,Open,High,Low,Close,Adj Close,Volume
2009-09-01,3.400000,5.600000,2.890000,4.700000,4.430885,361210900
2009-10-01,4.620000,4.700000,2.950000,3.060000,2.884789,214514800
2009-11-01,3.120000,3.720000,2.820000,3.690000,3.478716,146895300
2009-12-01,3.770000,5.400000,3.630000,4.840000,4.562869,252434900
2010-01-01,4.840000,5.960000,4.470000,5.310000,5.005957,262480900
2010-02-01,5.430000,7.400000,5.350000,7.330000,6.910295,230715100
2010-03-01,7.410000,8.170000,6.810000,7.350000,6.929150,173820100
2010-04-01,7.370000,7.870000,6.270000,7.070000,6.665183,326723600
2010-05-01,7.210000,8.970000,5.700000,8.830000,8.324409,262008300
2010-06-01,8.640000,10.870000,8.160000,8.610000,8.117003,239865600
2010-07-01,8.620000,11.150000,8.020000,10.850000,10.228745,200482300
2010-08-01,11.000000,11.400000,8.400000,9.040000,8.522381,169127000
2010-09-01,9.330000,10.170000,8.510000,9.250000,8.720359,129319900
2010-10-01,9.290000,12.240000,8.940000,11.790000,11.114922,140380600
2010-11-01,11.880000,12.260000,10.510000,11.160000,10.520995,105905700
2010-12-01,11.340000,11.430000,9.800000,10.010000,9.436843,91317200
2011-01-01,10.110000,11.560000,9.670000,9.920000,9.351995,137974100
2011-02-01,9.970000,10.210000,8.160000,8.610000,8.117003,180533900
2011-03-01,8.560000,9.380000,7.710000,8.710000,8.211280,176860200
2011-04-01,9.080000,9.160000,7.760000,9.090000,8.569518,118655300
2011-05-01,9.240000,10.350000,8.980000,9.100000,8.578947,145480000
2011-06-01,9.080000,9.340000,7.940000,8.910000,8.399829,141200400
2011-07-01,9.020000,9.150000,5.770000,6.240000,5.882707,139132400
2011-08-01,6.400000,6.430000,4.950000,5.590000,5.269925,196161700
2011-09-01,5.540000,6.570000,4.680000,5.500000,5.185079,168818400
2011-10-01,5.440000,6.480000,4.530000,5.770000,5.439619,137641800
2011-11-01,5.570000,5.730000,3.960000,4.720000,4.449740,132293300
2011-12-01,4.900000,6.230000,4.820000,5.070000,4.779699,150580600
2012-01-01,5.200000,8.790000,4.970000,8.440000,7.956737,185238100
2012-02-01,8.470000,9.910000,6.900000,7.410000,6.985714,180522000
2012-03-01,7.450000,7.970000,6.780000,7.590000,7.155409,157353600
2012-04-01,7.590000,10.440000,7.410000,10.260000,9.672528,182375100
2012-05-01,10.280000,13.360000,9.650000,13.220000,12.463041,187875000
2012-06-01,13.010000,13.800000,11.120000,13.330000,12.566743,194296500
2012-07-01,13.430000,14.510000,10.590000,11.460000,10.803817,196980100
2012-08-01,11.290000,11.750000,9.740000,10.660000,10.049624,172003900
2012-09-01,10.610000,12.480000,10.150000,10.460000,9.861075,138223400
2012-10-01,10.350000,12.630000,10.320000,12.180000,11.482594,119547300
2012-11-01,12.170000,13.190000,11.520000,12.890000,12.151937,114252000
2012-12-01,12.920000,13.750000,11.970000,13.500000,12.727011,113671300
2013-01-01,13.720000,15.640000,13.600000,14.280000,13.462348,148165800
2013-02-01,14.430000,15.400000,12.700000,13.430000,12.661017,193396500
2013-03-01,13.370000,17.430000,13.320000,16.969999,15.998321,187166700
2013-04-01,17.020000,17.129999,15.030000,16.900000,15.932331,152135500
2013-05-01,16.910000,19.700001,16.600000,17.570000,16.563965,127394000
2013-06-01,17.540001,18.200001,15.590000,16.420000,15.479815,104045500
2013-07-01,16.500000,19.490000,16.040001,19.350000,18.242050,117959400
2013-08-01,19.440001,19.590000,15.280000,16.160000,15.234700,218655000
2013-09-01,16.379999,19.480000,16.110001,18.959999,17.874376,90979900
2013-10-01,18.980000,23.160000,18.980000,21.969999,20.712027,125759100
2013-11-01,22.040001,25.490000,21.600000,23.480000,22.135572,245060000
